LINENAME,LINENUMBER,CDP,CDP_TRACE,CDP_X,CDP_Y,CDP_LON,CDP_LAT
OA16ESP00023A025,23,2507274,5301,666141.56,6595626.88,-0.0697999942795041,59.46421350382494
OA16ESP00023A025,23,2507374,5401,667389.68,6595676.16,-0.0477691468064307,59.46416010823701
OA16ESP00023A025,23,2507474,5501,668638.64,6595728.0,-0.0257216647143337,59.464125617716775
OA16ESP00023A025,23,2507574,5601,669888.88,6595763.84,-0.0036645006395218,59.46394340572485
OA16ESP00023A025,23,2507674,5701,671137.84,6595813.76,0.0183810232285159,59.46388425409916
OA16ESP00023A025,23,2507774,5801,672386.72,6595864.96,0.0404259744075868,59.46383289292648
OA16ESP00023A025,23,2507874,5901,673636.0,6595911.04,0.0624736304932135,59.463731734394
OA16ESP00023A025,23,2507974,6001,674884.88,6595957.76,0.0845145114001955,59.46363276031657
OA16ESP00023A025,23,2508074,6101,676134.48,6596000.0,0.1065641381056746,59.4634895947983
OA16ESP00023A025,23,2508174,6201,677383.12,6596051.2,0.1286039758977002,59.463423453729575
OA16ESP00023A025,23,2508274,6301,678633.36,6596094.08,0.1506648430532207,59.4632783136002
OA16ESP00023A025,23,2508374,6401,679882.72,6596138.88,0.1727115105395708,59.46314704024617
OA16ESP00023A025,23,2508474,6501,681131.28,6596188.8,0.1947481267135249,59.46305829718143
OA16ESP00023A025,23,2508574,6601,682380.64,6596225.92,0.216787680274817,59.462850727255365
OA16ESP00023A025,23,2508674,6701,683629.6,6596279.04,0.2388335288727686,59.46278306447734
OA16ESP00023A025,23,2508774,6801,684878.4,6596328.96,0.2608735787221743,59.462683061847
OA16ESP00023A025,23,2508874,6901,686128.0,6596373.12,0.2829224499319316,59.46252734662434
OA16ESP00023A025,23,2508974,7001,687376.96,6596421.76,0.3049636423145709,59.46240835894979
OA16ESP00023A025,23,2509074,7101,688625.4400000001,6596473.6000000015,0.3269989187132793,59.46231455518338
OA16ESP00023A025,23,2509174,7201,689874.96,6596519.68,0.3490471472444039,59.462164928115776
OA16ESP00023A025,23,2509274,7301,691125.28,6596556.16,0.3711005619019297,59.46192515790885
OA16ESP00023A025,23,2509374,7401,692374.4,6596602.88,0.3931416083638251,59.46177400867745
OA16ESP00023A025,23,2509474,7501,693623.2000000001,6596652.8,0.415179586902965,59.46164797299042
OA16ESP00023A025,23,2509574,7601,694872.24,6596698.88,0.4372179965438376,59.461483687082485
OA16ESP00023A025,23,2509674,7701,696121.52,6596752.0,0.459266739491937,59.46137867506372
OA16ESP00023A025,23,2509774,7801,697370.64,6596798.08,0.4813058975958385,59.46120691409358
OA16ESP00023A025,23,2509874,7901,698619.04,6596844.8,0.5033326122180818,59.46103751187545
OA16ESP00023A025,23,2509974,8001,699870.0,6596878.72,0.5253920884772615,59.46074845256392
OA16ESP00023A025,23,2510074,8101,701119.12,6596933.76,0.5474385081475953,59.460645843337886
OA16ESP00023A025,23,2510174,8201,702368.4,6596976.0,0.5694753644626929,59.46042471537411
OA16ESP00023A025,23,2510274,8301,703617.84,6597020.8,0.5915170477346732,59.46022273664928
OA16ESP00023A025,23,2510374,8401,704866.88,6597073.28,0.6135586403307682,59.46008606309873
OA16ESP00023A025,23,2510474,8501,706116.48,6597123.2,0.6356073071590068,59.4599224530124
OA16ESP00023A025,23,2510574,8601,707366.16,6597159.68,0.6576440002849032,59.459634637258524
OA16ESP00023A025,23,2510674,8701,708615.12,6597208.32,0.6796793584078402,59.45945243388376
OA16ESP00023A025,23,2510774,8801,709864.4,6597256.32,0.7017193418090241,59.459260618583656
OA16ESP00023A025,23,2510874,8901,711113.84,6597310.72,0.7237680634167688,59.4591223547743
OA16ESP00023A025,23,2510938,8965,711913.28,6597338.24,0.7378682994392644,59.45896663589716
,-999,-999,-999,,,,
OA16ESP00199B086,199,8601682,1,706991.04,6504773.76,0.5641506933774042,58.63179752297572
OA16ESP00199B086,199,8601782,101,707466.0,6505930.24,0.5733746079796976,58.641937105932094
OA16ESP00199B086,199,8601882,201,707935.6,6507089.28,0.5825141341650805,58.65210147415159
OA16ESP00199B086,199,8601982,301,708403.52,6508248.32,0.5916301672365474,58.66226593179482
OA16ESP00199B086,199,8602082,401,708874.72,6509406.08,0.6008068561115875,58.67241662165125
OA16ESP00199B086,199,8602182,501,709343.6,6510565.12,0.60995022562064,58.68257918194896
OA16ESP00199B086,199,8602282,601,709815.6,6511722.24,0.619150944842325,58.69272230348648
OA16ESP00199B086,199,8602382,701,710291.12,6512878.72,0.6284171318963918,58.7028572524702
OA16ESP00199B086,199,8602482,801,710759.04,6514037.76,0.6375602639002567,58.71301811084205
OA16ESP00199B086,199,8602582,901,711229.52,6515196.16,0.6467523326594269,58.723171264962346
OA16ESP00199B086,199,8602682,1001,711700.16,6516355.2,0.6559532112239104,58.73332935146149
OA16ESP00199B086,199,8602782,1101,712169.2000000002,6517514.24,0.6651319622525673,58.74348749647508
OA16ESP00199B086,199,8602882,1201,712630.56,6518675.2,0.674185525018463,58.75366590497477
OA16ESP00199B086,199,8602982,1301,713097.6,6519834.88,0.6833412520849362,58.76382933457682
OA16ESP00199B086,199,8603082,1401,713571.52,6520992.0,0.69261870969365,58.77396569794443
